Tanggal,Komoditi,Harga Petani,Harga Pengecer,Tipe,Periode,tahun,Luas Panen,Produktivitas,Produksi,Hari,Bulan,Tahun,harga_petani_scaled,harga_pengecer_scaled,luas_panen_scaled,produktivitas_scaled,produksi_scaled,hari_sin,hari_cos,bulan_sin,bulan_cos,tahun_norm
2022-01-01,Kacang Hijau,15000.0,17045.4326224135,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,1,1,2022,1.0,0.7809274759642362,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0
2022-01-02,Kacang Hijau,15000.0,17780.66474521125,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,2,1,2022,1.0,0.9978546857045805,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0
2022-01-03,Kacang Hijau,15000.0,17000.0,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,3,1,2022,1.0,0.7675227678377139,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.0
2022-01-04,Kacang Hijau,15000.0,17000.0,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,4,1,2022,1.0,0.7675227678377139,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.0
2022-01-05,Kacang Hijau,15000.0,17000.0,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,5,1,2022,1.0,0.7675227678377139,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.0
2022-01-06,Kacang Hijau,15000.0,17000.0,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,6,1,2022,1.0,0.7675227678377139,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.0
2022-01-07,Kacang Hijau,15000.0,17000.0,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,7,1,2022,1.0,0.7675227678377139,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-08,Kacang Hijau,15000.0,17302.669445890177,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,8,1,2022,1.0,0.8568241412880049,0.0,0.0,0.0,0.7818314824680296,0.6234898018587337,0.49999999999999994,0.8660254037844387,0.0
2022-01-09,Kacang Hijau,15000.0,17130.143153799956,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,9,1,2022,1.0,0.8059209693651503,0.0,0.0,0.0,0.9749279121818237,-0.2225209339563141,0.49999999999999994,0.8660254037844387,0.0
2022-01-10,Kacang Hijau,15000.0,17000.0,Kacang Hijau,Q1-2022,2022.0,0.0,0.0,0.0,10,1,2022,1.0,0.7675227678377139,0.0,0.0,0.0,0.43388373911755845,-0.9009688679024189,0.49999999999999994,0.8660254037844387,0.0
