Tanggal,Komoditi,Harga Petani,Harga Pengecer,Tipe,Periode,tahun,Luas Panen,Produktivitas,Produksi,Hari,Bulan,Tahun,harga_petani_scaled,harga_pengecer_scaled,luas_panen_scaled,produktivitas_scaled,produksi_scaled,hari_sin,hari_cos,bulan_sin,bulan_cos,tahun_norm
2022-01-01,Beras Premium,9499.999997639217,9999.999978177066,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,1,1,2022,2.1312035536347196e-05,0.12220469630046527,1.0,0.204491273721775,1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0
2022-01-02,Beras Premium,9499.999997978282,9999.999959338178,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,2,1,2022,2.1312262221684364e-05,0.12220468776881788,1.0,0.204491273721775,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0
2022-01-03,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,3,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.0
2022-01-04,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,4,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.0
2022-01-05,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,5,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.0
2022-01-06,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,6,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.0
2022-01-07,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,7,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-08,Beras Premium,9500.000000241393,9999.999912821704,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,8,1,2022,2.1313775246945e-05,0.12220466670270547,1.0,0.204491273721775,1.0,0.7818314824680296,0.6234898018587337,0.49999999999999994,0.8660254037844387,0.0
2022-01-09,Beras Premium,9500.000000610858,9999.999917024023,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,9,1,2022,2.1314022257357124e-05,0.12220466860582757,1.0,0.204491273721775,1.0,0.9749279121818237,-0.2225209339563141,0.49999999999999994,0.8660254037844387,0.0
2022-01-10,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,10,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,0.43388373911755845,-0.9009688679024189,0.49999999999999994,0.8660254037844387,0.0
2022-01-11,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,11,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.4338837391175562,-0.90096886790242,0.49999999999999994,0.8660254037844387,0.0
2022-01-12,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,12,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.9749279121818235,-0.2225209339563148,0.49999999999999994,0.8660254037844387,0.0
2022-01-13,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,13,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.781831482468029,0.6234898018587346,0.49999999999999994,0.8660254037844387,0.0
2022-01-14,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,14,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-4.898587196589413e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-15,Beras Premium,9500.000002106244,9999.999977820024,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,15,1,2022,2.13150220131908e-05,0.12220469613876972,1.0,0.204491273721775,1.0,0.7818314824680284,0.6234898018587354,0.49999999999999994,0.8660254037844387,0.0
2022-01-16,Beras Premium,9500.000002155764,9999.999994557278,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,16,1,2022,2.1315055120041393e-05,0.12220470371864067,1.0,0.204491273721775,1.0,0.9749279121818237,-0.22252093395631387,0.49999999999999994,0.8660254037844387,0.0
2022-01-17,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,17,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,0.43388373911755707,-0.9009688679024196,0.49999999999999994,0.8660254037844387,0.0
2022-01-18,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,18,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.43388373911755757,-0.9009688679024194,0.49999999999999994,0.8660254037844387,0.0
2022-01-19,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,19,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.9749279121818235,-0.22252093395631506,0.49999999999999994,0.8660254037844387,0.0
2022-01-20,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,20,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.7818314824680302,0.6234898018587329,0.49999999999999994,0.8660254037844387,0.0
2022-01-21,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,21,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-7.347880794884119e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-22,Beras Premium,9500.00000061187,10000.000152139284,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,22,1,2022,2.131402293414908e-05,0.12220477508347116,1.0,0.204491273721775,1.0,0.7818314824680271,0.6234898018587369,0.49999999999999994,0.8660254037844387,0.0
2022-01-23,Beras Premium,9500.000000005331,10000.000188729786,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,23,1,2022,2.1313617426521603e-05,0.12220479165436693,1.0,0.204491273721775,1.0,0.9749279121818238,-0.22252093395631362,0.49999999999999994,0.8660254037844387,0.0
2022-01-24,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,24,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,0.4338837391175589,-0.9009688679024188,0.49999999999999994,0.8660254037844387,0.0
2022-01-25,Beras Premium,9500.0,10000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,25,1,2022,2.1313613861373426e-05,0.12220470618350987,1.0,0.204491273721775,1.0,-0.43388373911755734,-0.9009688679024195,0.49999999999999994,0.8660254037844387,0.0
